"parti";"PSU_nov";"year"
"C";26,7;1973
"C";23,9;1976
"C";20,6;1979
"C";14,4;1985
"C";9,4;1988
"C";10,7;1991
"C";6,6;1994
"C";6,1;1998
"C";5,8;2002
"C";5,9;2006
"C";5;2010
"C";4,6;2014
"C";9,5;2018
"L";13,4;1973
"L";8,9;1976
"L";12,1;1979
"L";6,6;1985
"L";16;1988
"L";11,9;1991
"L";6,8;1994
"L";6,5;1998
"L";4,9;2002
"L";11,1;2006
"L";6,5;2010
"L";5,8;2014
"L";4,5;2018
"M";10,9;1973
"M";15,3;1976
"M";15,6;1979
"M";27,8;1985
"M";19,9;1988
"M";29,1;1991
"M";19,6;1994
"M";29,2;1998
"M";23,8;2002
"M";25,9;2006
"M";26,2;2010
"M";25,5;2014
"M";22;2018
"KD";NA;1973
"KD";NA;1976
"KD";NA;1979
"KD";NA;1985
"KD";NA;1988
"KD";NA;1991
"KD";4,3;1994
"KD";4,6;1998
"KD";9,6;2002
"KD";4,8;2006
"KD";4,8;2010
"KD";3,8;2014
"KD";3,3;2018
"NYD";NA;1973
"NYD";NA;1976
"NYD";NA;1979
"NYD";NA;1985
"NYD";NA;1988
"NYD";NA;1991
"NYD";5,3;1994
"NYD";NA;1998
"NYD";NA;2002
"NYD";NA;2006
"NYD";NA;2010
"NYD";NA;2014
"NYD";NA;2018
"S";40,6;1973
"S";44,3;1976
"S";45,2;1979
"S";41,7;1985
"S";42;1988
"S";31,2;1991
"S";50,8;1994
"S";39,2;1998
"S";39,9;2002
"S";37,1;2006
"S";36,5;2010
"S";34,9;2014
"S";31,8;2018
"V";5,7;1973
"V";5;1976
"V";4,6;1979
"V";4,8;1985
"V";4,2;1988
"V";6,4;1991
"V";3,5;1994
"V";8,4;1998
"V";11,4;2002
"V";5,7;2006
"V";5,1;2010
"V";6,2;2014
"V";6,8;2018
"MP";NA;1973
"MP";NA;1976
"MP";NA;1979
"MP";NA;1985
"MP";NA;1988
"MP";4;1991
"MP";2,5;1994
"MP";4,9;1998
"MP";3,3;2002
"MP";4,1;2006
"MP";8,4;2010
"MP";8,7;2014
"MP";4,1;2018
"SD";NA;1973
"SD";NA;1976
"SD";NA;1979
"SD";NA;1985
"SD";NA;1988
"SD";NA;1991
"SD";NA;1994
"SD";NA;1998
"SD";NA;2002
"SD";NA;2006
"SD";NA;2010
"SD";9,1;2014
"SD";15,2;2018
